to collect: 39
[1/39] OK 公益財団法人日本教育公務員弘済会 | awardees=8 fy=2026
[2/39] OK トヨタ財団 | awardees=10 fy=2025
[3/39] OK 公益財団法人笹川平和財団 | awardees=0 fy=2025
[4/39] OK 公益財団法人池谷科学技術振興財団 | awardees=0 fy=2026
[5/39] OK 公益財団法人旭硝子財団 | awardees=80 fy=2026
[6/39] OK 公益財団法人SGH財団 | awardees=25 fy=2025
[7/39] OK 公益財団法人三菱ＵＦＪ信託奨学財団 | awardees=1 fy=2026
[8/39] OK 公益財団法人飯島藤十郎記念食品科学振興財団 | awardees=59 fy=2025
[9/39] OK 住友財団 | awardees=63 fy=2025
[10/39] OK 牧誠財団 | awardees=10 fy=2026
[11/39] OK 公益財団法人車両競技公益資金記念財団 | awardees=14 fy=2024
[12/39] OK 公益財団法人持田記念医学薬学振興財団 | awardees=80 fy=2025
[13/39] OK 日本生命財団 | awardees=11 fy=2025
[14/39] OK 公益財団法人船井情報科学振興財団 | awardees=20 fy=2025
[15/39] OK 公益財団法人ロータリー米山記念奨学会 | awardees=0 fy=None
[16/39] OK 花王芸術・科学財団 | awardees=10 fy=2026
[17/39] OK 公益財団法人朝鮮奨学会 | awardees=0 fy=2025
[18/39] OK 日本薬学会 | awardees=21 fy=2026
[19/39] OK 日本化学会 | awardees=1 fy=2024
[20/39] OK 住友生命健康財団 | awardees=32 fy=2025
[21/39] OK 長瀬科学技術振興財団 | awardees=25 fy=2025
[22/39] OK アステラス病態代謝研究会 | awardees=80 fy=2025
[23/39] OK 公益財団法人喫煙科学研究財団 | awardees=0 fy=2025
[24/39] OK 公益財団法人サントリー文化財団 | awardees=15 fy=2025
[25/39] OK 三井住友海上福祉財団 | awardees=35 fy=2025
[26/39] OK 公益財団法人キヤノン財団 | awardees=13 fy=2026
[27/39] OK SOMPO福祉財団（旧：損保ジャパン日本興亜 | awardees=16 fy=2024
[28/39] OK 日本物理学会 | awardees=0 fy=None
[29/39] OK 日本数学会 | awardees=4 fy=2026
[30/39] OK 萩原学術振興財団 | awardees=11 fy=2025
[31/39] OK 先進医薬研究振興財団 | awardees=33 fy=2025
[32/39] OK りそなアジア・オセアニア財団 | awardees=36 fy=2026
[33/39] OK 日本生化学会 | awardees=6 fy=2026
[34/39] OK 中外創薬科学財団（旧：東京生化学研究会） | awardees=38 fy=2025
[35/39] OK 金原一郎記念医学医療振興財団 | awardees=18 fy=2025
[36/39] OK 日本天文学会 | awardees=22 fy=2026
[37/39] OK 太陽生命厚生財団 | awardees=7 fy=2025
[38/39] OK 野口研究所 | awardees=13 fy=2023
[39/39] OK 全国銀行学術研究振興財団 | awardees=37 fy=2025
