to collect: 53
[1/53] OK 小野薬品がん・免疫・神経研究財団 | awardees=9 fy=2025
[2/53] OK ローム株式会社　研究公募事務局 | awardees=0 fy=None
[3/53] OK 日工組社会安全研究財団 | awardees=9 fy=2026
[4/53] OK ホソカワ粉体工学振興財団 | awardees=17 fy=2025
[5/53] OK 臨床研究奨励基金 | awardees=10 fy=2025
[6/53] OK 公益財団法人大同生命厚生事業団 | awardees=34 fy=2025
[7/53] OK 公益財団法人コニカミノルタ科学技術振興財団 | awardees=12 fy=2025
[8/53] OK 公益財団法人みずほ学術振興財団 | awardees=13 fy=2026
[9/53] OK 公益財団法人アサヒグループ財団 | awardees=15 fy=2025
[10/53] OK 公益財団法人サントリー生命科学財団 | awardees=6 fy=2025
[11/53] OK 公益財団法人旭化成ひむか文化財団 | awardees=0 fy=None
[12/53] OK 公益財団法人杉浦記念財団 | awardees=13 fy=2026
[13/53] OK 公益財団法人岡三加藤文化振興財団 | awardees=39 fy=2026
[14/53] OK 公益財団法人ヤマハ発動機スポーツ振興財団 | awardees=15 fy=2026
