to collect: 51
[1/51] OK 公益財団法人江副記念リクルート財団 | awardees=19 fy=2026
[2/51] OK 公益財団法人コーセーコスメトロジー研究財団 | awardees=32 fy=2025
[3/51] OK 公益財団法人明治安田厚生事業団 | awardees=13 fy=2025
[4/51] OK 公益財団法人日産財団 | awardees=40 fy=2026
[5/51] OK 公益財団法人りそな中小企業振興財団 | awardees=38 fy=2025
[6/51] OK 公益財団法人電通育英会 | awardees=18 fy=2026
[7/51] OK 公益財団法人ローム ミュージック ファンデー | awardees=0 fy=2025
[8/51] OK 公益財団法人鉄道弘済会 | awardees=0 fy=None
[9/51] OK 公益財団法人楽天未来のつばさ | awardees=0 fy=2024
[10/51] OK 公益財団法人豊田都市交通研究所 | awardees=2 fy=2005
[11/51] OK 公益財団法人川西記念新明和教育財団 | awardees=6 fy=2025
[12/51] OK 公益財団法人田村科学技術振興財団 | awardees=13 fy=2024
[13/51] OK 公益財団法人小笠原敏晶記念財団 | awardees=26 fy=2024
[14/51] OK 公益財団法人立石科学技術振興財団 | awardees=64 fy=2026
[15/51] OK 公益財団法人イハラサイエンス中野記念財団 | awardees=18 fy=2025
[16/51] OK 公益財団法人兵庫県立大学科学技術後援財団 | awardees=0 fy=None
[17/51] OK 公益財団法人服部報公会 | awardees=16 fy=2025
[18/51] OK 公益財団法人総合健康推進財団 | awardees=9 fy=2025
[19/51] OK 公益財団法人大阪ガス国際交流財団 | awardees=16 fy=2024
[20/51] OK 公益財団法人遠藤斉治朗記念科学技術振興財団 | awardees=11 fy=2008
[21/51] OK 公益財団法人オリエンタルモーター奨学財団 | awardees=0 fy=None
[22/51] OK 公益財団法人二又教育文化振興奨学会 | awardees=0 fy=None
[23/51] OK 公益財団法人ズームグループ学術振興財団 | awardees=0 fy=2025
[24/51] OK 公益財団法人クリタ水・環境科学振興財団 | awardees=67 fy=2025
[25/51] OK 公益財団法人光科学技術研究振興財団 | awardees=33 fy=2025
[26/51] OK 公益財団法人内田エネルギー科学振興財団 | awardees=54 fy=2025
[27/51] OK 公益財団法人平和中島財団 | awardees=0 fy=2025
[28/51] OK 公益財団法人同仁化学学術振興財団 | awardees=5 fy=2025
[29/51] OK 公益財団法人ファイザーヘルスリサーチ振興財団 | awardees=32 fy=2025
[30/51] OK 公益財団法人山口内分泌疾患研究振興財団 | awardees=8 fy=2024
[31/51] OK 公益財団法人徳山科学技術振興財団 | awardees=32 fy=2026
[32/51] OK 公益財団法人双葉電子記念財団 | awardees=21 fy=2024
[33/51] OK 公益財団法人日本科学協会 | awardees=8 fy=2026
[34/51] OK 公益財団法人日比科学技術振興財団 | awardees=50 fy=2025
[35/51] OK 公益財団法人昭和医科大学医療振興財団 | awardees=5 fy=2025
[36/51] OK 公益財団法人東洋食品研究所 | awardees=15 fy=2026
[37/51] OK 公益財団法人日本板硝子材料工学助成会 | awardees=40 fy=2020
[38/51] OK 公益財団法人村田海外留学奨学会 | awardees=0 fy=2025
[39/51] OK 公益財団法人永井科学技術財団 | awardees=19 fy=2025
