to collect: 42
[1/42] OK 公益財団法人群馬大学科学技術振興会 | awardees=0 fy=None
[2/42] OK 公益財団法人松籟科学技術振興財団 | awardees=21 fy=2025
[3/42] OK 公益財団法人艮陵医学振興会 | awardees=1 fy=2025
[4/42] OK 公益財団法人肥後医育振興会 | awardees=4 fy=2024
[5/42] OK 公益財団法人荏原畠山記念文化財団 | awardees=9 fy=2026
[6/42] OK 公益財団法人秋山記念生命科学振興財団 | awardees=35 fy=2026
[7/42] OK 公益財団法人石本記念デサントスポーツ科学振興 | awardees=20 fy=2025
[8/42] OK 公益財団法人近藤記念財団 | awardees=10 fy=2025
[9/42] OK 公益財団法人高エネルギー加速器科学研究奨励会 | awardees=11 fy=2025
[10/42] OK 公益財団法人パナック財団 | awardees=5 fy=2026
[11/42] OK 公益財団法人つくし奨学・研究基金 | awardees=0 fy=2026
[12/42] OK 公益財団法人シオノギ感染症研究振興財団 | awardees=0 fy=2025
[13/42] OK 公益財団法人インテリジェント・コスモス学術振 | awardees=4 fy=2026
[14/42] OK 公益財団法人ノバルティス科学振興財団 | awardees=34 fy=2025
[15/42] OK 公益財団法人三豊科学技術振興協会 | awardees=10 fy=2025
[16/42] OK 公益財団法人ホクト生物科学振興財団 | awardees=17 fy=2025
[17/42] OK 公益財団法人下中記念財団 | awardees=21 fy=2025
[18/42] OK 公益財団法人フジシール財団 | awardees=59 fy=2026
[19/42] OK 公益財団法人京都健康管理研究会 | awardees=5 fy=2024
[20/42] OK 公益財団法人中部科学技術センター | awardees=0 fy=2025
[21/42] OK 公益財団法人井上科学振興財団 | awardees=0 fy=2025
[22/42] OK 公益財団法人医用原子力技術研究振興財団 | awardees=1 fy=2016
[23/42] OK 公益財団法人両備てい園記念財団 | awardees=2 fy=2024
[24/42] OK 公益財団法人医療機器センター | awardees=12 fy=2026
[25/42] OK 公益財団法人南北海道学術振興財団 | awardees=10 fy=2025
[26/42] OK 公益財団法人国際医学研究振興財団 | awardees=6 fy=2025
[27/42] OK 公益財団法人内藤科学技術振興財団 | awardees=22 fy=2019
[28/42] OK 公益財団法人国際耳鼻咽喉科学振興会 | awardees=3 fy=2025
[29/42] OK 公益財団法人前田記念工学振興財団 | awardees=62 fy=2026
[30/42] OK 公益財団法人原田積善会 | awardees=5 fy=2020
[31/42] OK 公益財団法人川崎市産業振興財団 | awardees=0 fy=None
[32/42] OK 公益財団法人大澤科学技術振興財団 | awardees=40 fy=2025
[33/42] OK 公益財団法人園芸振興松島財団 | awardees=1 fy=2025
[34/42] OK 公益財団法人山口育英奨学会 | awardees=18 fy=2023
[35/42] OK 公益財団法人広島県漁業振興基金 | awardees=8 fy=2026
[36/42] OK 公益財団法人富徳会 | awardees=28 fy=2024
[37/42] OK 公益財団法人戸田育英財団 | awardees=8 fy=2025
[38/42] OK 公益財団法人木原記念横浜生命科学振興財団 | awardees=1 fy=2025
[39/42] OK 公益財団法人岡山医学振興会 | awardees=0 fy=2007
[40/42] OK 公益財団法人川野小児医学奨学財団 | awardees=56 fy=2025
[41/42] OK 公益財団法人御器谷科学技術財団 | awardees=15 fy=2024
[42/42] OK 公益財団法人成長科学協会 | awardees=28 fy=2025
