to collect: 103
[1/103] OK 公益財団法人北広島市夜間急病協会 | awardees=0 fy=None
[2/103] OK 公益財団法人兵庫県予防医学協会 | awardees=0 fy=None
[3/103] OK 公益財団法人会津地域教育・学術振興財団 | awardees=3 fy=2023
[4/103] OK 公益財団法人名古屋産業振興公社 | awardees=10 fy=2024
[5/103] OK 公益財団法人原総合知的通信システム基金 | awardees=4 fy=2025
[6/103] OK 公益財団法人土屋文化振興財団 | awardees=0 fy=None
[7/103] OK 公益財団法人北九州産業学術推進機構 | awardees=21 fy=2025
[8/103] OK 公益財団法人大崎企業スポーツ事業研究助成財団 | awardees=3 fy=2026
[9/103] OK 公益財団法人吉田科学技術財団 | awardees=0 fy=2023
[10/103] OK 公益財団法人大遊協国際交流・援助・研究協会 | awardees=0 fy=2026
[11/103] OK 公益財団法人大隅基礎科学創成財団 | awardees=13 fy=2025
[12/103] OK 公益財団法人大分県産業創造機構 | awardees=0 fy=None
[13/103] OK 公益財団法人前川報恩会 | awardees=0 fy=2025
[14/103] OK 公益財団法人奈良県地域産業振興センター | awardees=3 fy=2025
[15/103] OK 公益財団法人小山基金 | awardees=0 fy=None
[16/103] OK 公益財団法人寺下援護会 | awardees=0 fy=2025
[17/103] OK 公益財団法人山崎香辛料振興財団 | awardees=12 fy=2025
[18/103] OK 公益財団法人小児医学研究振興財団 | awardees=11 fy=2025
[19/103] OK 公益財団法人宮川庚子記念研究財団 | awardees=3 fy=2025
[20/103] OK 公益財団法人安田記念医学財団 | awardees=33 fy=2025
[21/103] OK 公益財団法人徳島新聞社会文化事業団 | awardees=1 fy=2026
[22/103] OK 公益財団法人放射線影響協会 | awardees=4 fy=2025
[23/103] OK 公益財団法人循環器病研究振興財団 | awardees=11 fy=2025
[24/103] OK 公益財団法人天文学振興財団 | awardees=0 fy=2023
[25/103] OK 公益財団法人日本アレルギー協会 | awardees=2 fy=2024
[26/103] OK 公益財団法人日本リウマチ財団 | awardees=2 fy=2025
[27/103] OK 公益財団法人日本ナショナルトラスト | awardees=4 fy=2025
[28/103] OK 公益財団法人新潟市産業振興財団 | awardees=9 fy=2024
[29/103] OK 公益財団法人日本股関節研究振興財団 | awardees=2 fy=2025
[30/103] OK 公益財団法人岡山県産業振興財団 | awardees=5 fy=2026
[31/103] OK 公益財団法人愛知大学教育研究支援財団 | awardees=52 fy=2024
[32/103] OK 公益財団法人松尾建設技術振興財団 | awardees=0 fy=None
[33/103] OK 公益財団法人水道技術研究センター | awardees=0 fy=None
[34/103] OK 公益財団法人日中医学協会 | awardees=24 fy=2026
[35/103] OK 公益財団法人沖縄協会 | awardees=5 fy=2025
[36/103] OK 公益財団法人東京医科大学がん研究事業団 | awardees=0 fy=None
[37/103] OK 公益財団法人日本室内楽振興財団 | awardees=9 fy=2023
[38/103] OK 公益財団法人神奈川県都市整備技術センター | awardees=0 fy=None
[39/103] OK 公益財団法人日本腎臓財団 | awardees=0 fy=None
[40/103] OK 公益財団法人生命保険文化センター | awardees=17 fy=2026
[41/103] OK 公益財団法人津川モーター研究財団 | awardees=37 fy=2025
[42/103] OK 公益財団法人畑崎財団 | awardees=0 fy=None
[43/103] OK 公益財団法人福島県産業振興センター | awardees=5 fy=2025
[44/103] OK 公益財団法人科学技術交流財団 | awardees=4 fy=2026
[45/103] OK 公益財団法人福岡県産業・科学技術振興財団 | awardees=3 fy=2025
[46/103] OK 公益財団法人美術工芸振興佐藤基金 | awardees=6 fy=2026
