to collect: 19
[1/19] OK （株）大塚商会 | officers=0 企業役員=0
[2/19] OK 公益財団法人石橋財団 | officers=16 企業役員=0
[3/19] OK 公益財団法人飯島藤十郎記念食品科学振興財団 | officers=42 企業役員=10
[4/19] OK 公益財団法人稲盛財団 | officers=60 企業役員=8
[5/19] OK 公益財団法人中谷財団 | officers=19 企業役員=4
[6/19] OK ＪＫＡ | officers=15 企業役員=1
[7/19] OK 公益財団法人旭硝子財団 | officers=59 企業役員=12
[8/19] OK 公益財団法人日本教育公務員弘済会 | officers=36 企業役員=0
[9/19] OK 公益財団法人持田記念医学薬学振興財団 | officers=25 企業役員=7
[10/19] OK 公益財団法人三菱財団 | officers=62 企業役員=14
[11/19] OK 住友財団 | officers=65 企業役員=17
[12/19] OK 公益財団法人船井情報科学振興財団 | officers=35 企業役員=2
[13/19] OK 公益財団法人三菱ＵＦＪ信託奨学財団 | officers=1 企業役員=0
