to collect: 56
[1/56] OK 公益財団法人楽天未来のつばさ | officers=13 企業役員=4
[2/56] OK 公益財団法人ローム ミュージック ファンデー | officers=31 企業役員=4
[3/56] OK 公益財団法人豊田都市交通研究所 | officers=17 企業役員=1
[4/56] OK 公益財団法人田村科学技術振興財団 | officers=0 企業役員=0
[5/56] OK 公益財団法人鉄道弘済会 | officers=12 企業役員=0
[6/56] OK 公益財団法人立石科学技術振興財団 | officers=21 企業役員=4
[7/56] OK 公益財団法人ズームグループ学術振興財団 | officers=1 企業役員=0
[8/56] OK 公益財団法人光科学技術研究振興財団 | officers=18 企業役員=1
[9/56] OK 公益財団法人クリタ水・環境科学振興財団 | officers=29 企業役員=1
[10/56] OK 公益財団法人内田エネルギー科学振興財団 | officers=24 企業役員=9
[11/56] OK 公益財団法人同仁化学学術振興財団 | officers=19 企業役員=6
[12/56] OK 公益財団法人日本科学協会 | officers=18 企業役員=1
