to collect: 55
[1/55] OK 公益財団法人日比科学技術振興財団 | officers=24 企業役員=4
[2/55] OK 公益財団法人徳山科学技術振興財団 | officers=25 企業役員=9
[3/55] OK 公益財団法人永井科学技術財団 | officers=34 企業役員=7
[4/55] OK 公益財団法人松籟科学技術振興財団 | officers=26 企業役員=3
[5/55] OK 公益財団法人山口内分泌疾患研究振興財団 | officers=35 企業役員=5
[6/55] OK 公益財団法人ファイザーヘルスリサーチ振興財団 | officers=29 企業役員=0
[7/55] OK 公益財団法人艮陵医学振興会 | officers=17 企業役員=0
[8/55] OK 公益財団法人インテリジェント・コスモス学術振 | officers=0 企業役員=0
[9/55] OK 公益財団法人高エネルギー加速器科学研究奨励会 | officers=26 企業役員=2
[10/55] OK 公益財団法人肥後医育振興会 | officers=40 企業役員=0
[11/55] OK 公益財団法人ホクト生物科学振興財団 | officers=14 企業役員=9
[12/55] OK 公益財団法人ノバルティス科学振興財団 | officers=35 企業役員=2
[13/55] OK 公益財団法人シオノギ感染症研究振興財団 | officers=43 企業役員=5
[14/55] OK 公益財団法人三豊科学技術振興協会 | officers=16 企業役員=2
[15/55] OK 公益財団法人南北海道学術振興財団 | officers=13 企業役員=0
[16/55] OK 公益財団法人医用原子力技術研究振興財団 | officers=27 企業役員=1
[17/55] OK 公益財団法人内藤科学技術振興財団 | officers=22 企業役員=12
[18/55] OK 公益財団法人井上科学振興財団 | officers=46 企業役員=1
[19/55] OK 公益財団法人医療機器センター | officers=49 企業役員=0
[20/55] OK 公益財団法人大澤科学技術振興財団 | officers=19 企業役員=5
[21/55] OK 公益財団法人中部科学技術センター | officers=0 企業役員=0
[22/55] OK 公益財団法人園芸振興松島財団 | officers=0 企業役員=0
[23/55] OK 公益財団法人川崎市産業振興財団 | officers=20 企業役員=4
[24/55] OK 公益財団法人岡山医学振興会 | officers=1 企業役員=0
[25/55] OK 公益財団法人御器谷科学技術財団 | officers=18 企業役員=4
[26/55] OK 公益財団法人広島県漁業振興基金 | officers=19 企業役員=0
[27/55] OK 公益財団法人本荘由利産学振興財団 | officers=19 企業役員=6
[28/55] OK 公益財団法人杜の都医学振興財団 | officers=16 企業役員=3
[29/55] OK 公益財団法人木村看護教育振興財団 | officers=17 企業役員=4
[30/55] OK 公益財団法人精密測定技術振興財団 | officers=21 企業役員=1
[31/55] OK 公益財団法人松尾学術振興財団 | officers=25 企業役員=0
[32/55] OK 公益財団法人東洋紡バイオテクノロジー研究財団 | officers=42 企業役員=5
[33/55] OK 公益財団法人成長科学協会 | officers=30 企業役員=3
[34/55] OK 公益財団法人藤森科学技術振興財団 | officers=11 企業役員=3
[35/55] OK 公益財団法人藤原ナチュラルヒストリー振興財団 | officers=21 企業役員=1
[36/55] OK 公益財団法人細胞科学研究財団 | officers=35 企業役員=4
[37/55] OK 公益財団法人関西エネルギー・リサイクル科学研 | officers=24 企業役員=6
[38/55] OK 公益財団法人臨床薬理研究振興財団 | officers=24 企業役員=3
[39/55] OK 公益財団法人電気科学技術奨励会 | officers=52 企業役員=7
[40/55] OK 公益財団法人サンケイ科学振興財団 | officers=0 企業役員=0
[41/55] OK 公益財団法人おきぎんふるさと振興基金 | officers=1 企業役員=1
[42/55] OK 公益財団法人かけはし芸術文化振興財団 | officers=22 企業役員=2
