to collect: 51
[1/51] OK 公益財団法人堀科学芸術振興財団 | officers=17 企業役員=5
[2/51] OK 公益財団法人函館地域産業振興財団 | officers=28 企業役員=7
[3/51] OK 公益財団法人北海道科学技術総合振興センター | officers=22 企業役員=4
[4/51] OK 公益財団法人京都高度技術研究所 | officers=27 企業役員=8
[5/51] OK 公益財団法人山田科学振興財団 | officers=21 企業役員=1
[6/51] OK 公益財団法人愛知県がん研究振興会 | officers=23 企業役員=2
[7/51] OK 公益財団法人内視鏡医学研究振興財団 | officers=42 企業役員=3
[8/51] OK 公益財団法人微生物化学研究会 | officers=30 企業役員=4
[9/51] OK 公益財団法人富山県新世紀産業機構 | officers=22 企業役員=0
[10/51] OK 公益財団法人整形災害外科学研究助成財団 | officers=22 企業役員=2
[11/51] OK 公益財団法人川崎医学・医療福祉学振興会 | officers=0 企業役員=0
[12/51] OK 公益財団法人日本二分脊椎・水頭症研究振興財団 | officers=23 企業役員=3
[13/51] OK 公益財団法人日本防犯安全振興財団 | officers=7 企業役員=1
[14/51] OK 公益財団法人日本海洋科学振興財団 | officers=29 企業役員=0
[15/51] OK 公益財団法人柿原科学技術研究財団 | officers=19 企業役員=0
[16/51] OK 公益財団法人日本アイバンク協会 | officers=30 企業役員=1
[17/51] OK 公益財団法人江間忠・木材振興財団 | officers=0 企業役員=0
[18/51] OK 公益財団法人日本建築衛生管理教育センター | officers=29 企業役員=9
[19/51] OK 公益財団法人江野科学振興財団 | officers=21 企業役員=3
[20/51] OK 公益財団法人第一三共生命科学研究振興財団 | officers=25 企業役員=2
[21/51] OK 公益財団法人群馬県漁業増殖基金協会 | officers=22 企業役員=0
[22/51] OK 公益財団法人浦上食品・食文化振興財団 | officers=18 企業役員=3
[23/51] OK 公益財団法人江頭ホスピタリティ事業振興財団 | officers=25 企業役員=10
[24/51] OK 公益財団法人鍋島報效会 | officers=14 企業役員=1
[25/51] OK 公益財団法人興和生命科学振興財団 | officers=28 企業役員=3
[26/51] OK 公益財団法人電気電子情報学術振興財団 | officers=18 企業役員=3
[27/51] OK 公益財団法人西川医療振興財団 | officers=14 企業役員=3
[28/51] OK 公益財団法人かがわ産業支援財団 | officers=1 企業役員=0
[29/51] OK 公益財団法人長寿科学振興財団 | officers=49 企業役員=3
[30/51] OK 公益財団法人がん研究振興財団 | officers=16 企業役員=0
[31/51] OK 公益財団法人てんかん治療研究振興財団 | officers=36 企業役員=2
[32/51] OK 公益財団法人ひと・健康・未来研究財団 | officers=20 企業役員=1
[33/51] OK 公益財団法人やまなし産業支援機構 | officers=22 企業役員=1
[34/51] OK 公益財団法人ひょうご科学技術協会 | officers=23 企業役員=2
[35/51] OK 公益財団法人アイコム電子通信工学振興財団 | officers=15 企業役員=3
[36/51] OK 公益財団法人イノベーシスト | officers=5 企業役員=1
[37/51] OK 公益財団法人カメイ社会教育振興財団 | officers=6 企業役員=1
[38/51] OK 公益財団法人バリューＨＲ健康寿命延伸財団 | officers=12 企業役員=5
[39/51] OK 公益財団法人ダノン健康栄養財団 | officers=27 企業役員=2
[40/51] OK 公益財団法人タカタ財団 | officers=10 企業役員=1
[41/51] OK 公益財団法人ヨネックススポーツ振興財団 | officers=22 企業役員=9
[42/51] OK 公益財団法人ライフサイエンス振興財団 | officers=14 企業役員=1
[43/51] OK 公益財団法人ソルト・サイエンス研究財団 | officers=11 企業役員=5
[44/51] OK 公益財団法人不二たん白質研究振興財団 | officers=18 企業役員=1
[45/51] OK 公益財団法人中国電力技術研究財団 | officers=24 企業役員=11
[46/51] OK 公益財団法人全国税理士共栄会文化財団 | officers=0 企業役員=0
[47/51] OK 公益財団法人会津地域教育・学術振興財団 | officers=23 企業役員=14
[48/51] OK 公益財団法人中山隼雄科学技術文化財団 | officers=21 企業役員=5
[49/51] OK 公益財団法人北広島市夜間急病協会 | officers=0 企業役員=0
[50/51] OK 公益財団法人北九州産業学術推進機構 | officers=20 企業役員=2
[51/51] OK 公益財団法人兵庫県予防医学協会 | officers=21 企業役員=1
