no,formal_name,url,admin,purpose_summary,annual_grant_amount_yen,annual_grant_year,award_count_2024_2025,basic_assets_yen,total_assets_yen,main_programs,jfc_rank,extraction_status,source_basis
1,公益財団法人田村科学技術振興財団,,富山県,医学、薬学をはじめとした生命科学に関する領域の教育・研究を奨励する助成事業と、事務所等の賃貸の収益事業を行う,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
2,公益財団法人新潟医学振興会,http://www.niigata-mf.or.jp,新潟県,医学・医療の教育研究環境の整備及び先端的医療技術の向上を図り、もって地域社会への医療の安定供給に寄与するため、修学資金の貸与、奨励金・奨学金の交付及び教育・研究活動への助成などの事業を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
3,公益財団法人寺岡記念育英会,,岡山県,医学・学術振興の発展及び医療技術向上に寄与することを目的とし、医学研究者への研究費の助成、医学者及び医療従事者が海外技術を学ぶための留学費の助成、その他この法人の目的を達成するために必要な事業を行う。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
4,公益財団法人臨床研究奨励基金,http://crpf.jp,内閣府,医学・医療、生命科学に関する学術研究や技術開発、学術集会や市民啓発活動等、関連領域の人材育成及び国際交流への助成活動,,,,,,学術集会助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
5,公益財団法人艮陵医学振興会,,宮城県,宮城県における地域医療体制の整備充実、医療従事者の人材養成強化、県民の健康増進、医学知識の普及向上並びに医学・医療の振興に必要な研究・教育に対する助成事業,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
6,公益財団法人伊藤医薬学術交流財団,https://ito-zaidan.jp,北海道,医学、薬学、歯学、保健学、医用工学等の医薬の分野に関する学術交流の機会に対する助成を行う。 医学、薬学、歯学、保健学、医用工学等の医薬の分野に関する研究者を奨励し、表彰する。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
7,公益財団法人総合健康推進財団,https://soukensui.jp,内閣府,健康科学、予防医学等に関する研究について助成することにより保健予防の学術の振興を図るとともに、保健医療及び福祉等に関する調査、研究及び普及啓発並びに従事者の養成の事業を行う,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
8,公益財団法人鈴木謙三記念医科学応用研究財団,http://www.suzukenzaidan.or.jp,内閣府,医学、薬学、医工学、その他関連諸科学の医療への応用に関する調査研究及びその助成並びに国際交流集会の開催に関する助成。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
9,公益財団法人ファイザーヘルスリサーチ振興財団,https://www.health-research.or.jp,内閣府,ヘルスリサーチ（保健・医療・福祉分野における科学技術の進展を国民のクオリティー ・オブ・ライフの向上につなげるために、多元的な学問の方法論を用いて、最適な保健 ・医療・福祉のシステムを構築する学問）に対する研究助成、提言、研究者の育成、調 査研究、国際交流等を行うことにより、我が国におけるヘルスリサーチの振興を図ると ともに、国民の健康と福祉の向上に寄与する,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
10,公益財団法人西日本奨学会,https://www.kitakyu-hp.or.jp/contents/group_shogakukai.htm,福岡県,福岡県内において行う医療関連学校の生徒への奨学金の給与及び医療関係の学術・研究に対する振興助成事業。,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
11,公益財団法人国際医学教育財団,,内閣府,奨学金等助成事業（医学・看護・介護関係） 教育環境整備助成助成事業（医学・看護・介護関係）,,,,,,助成事業,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
12,公益財団法人猪之鼻奨学会,https://inohana-shougaku.jp,千葉県,千葉県内の医学系、薬学系の研究者への研究助成および千葉県内の医学部およ び薬学部に在籍する学生の学資困難者に対する奨学金の貸与事業,,,,,,研究助成,,未抽出: 公益法人info/公式PDFから要抽出,koeki_research_foundations + corporate_research_grants.sqlite
