rank_in_inventory,canonical_key,formal_name,db_name,official_url,koeki_info_url,koeki_registered,admin_agency,prefecture_or_address,financial_document_year,annual_grant_amount_yen_existing,total_assets_yen_existing,jfc_rank_2022,foundation_subtype,koeki_research_score,duplicate_rows_collapsed,verification_status
1,日本科学技術振興財団,公益財団法人日本科学技術振興財団,公益財団法人日本科学技術振興財団,https://www2.jsf.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%97%A5%E6%9C%AC%E7%A7%91%E5%AD%A6%E6%8A%80%E8%A1%93%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都千代田区北の丸公園２番１号,,1463000000,,,corporate,4,1,official_url_and_koeki_name_matched
2,京都オムロン地域協力基金,公益財団法人京都オムロン地域協力基金,公益財団法人京都オムロン地域協力基金,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E4%BA%AC%E9%83%BD%E3%82%AA%E3%83%A0%E3%83%AD%E3%83%B3%E5%9C%B0%E5%9F%9F%E5%8D%94%E5%8A%9B%E5%9F%BA%E9%87%91,yes,京都府,京都府京都市下京区油小路通塩小路下る南不動堂町１１番地,,1090000000,,,corporate,1,1,koeki_name_matched_official_url_needed
3,小野奨学会,公益財団法人小野奨学会,公益財団法人小野奨学会,https://ono-syougakukai.or.jp,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%B0%8F%E9%87%8E%E5%A5%A8%E5%AD%A6%E4%BC%9A,yes,大阪府,大阪府大阪市中央区平野町２丁目６番１１号ホーコス伏見屋ビル３０１号室,,731000000,,,individual,1,1,official_url_and_koeki_name_matched
4,島津科学技術振興財団,公益財団法人島津科学技術振興財団,公益財団法人島津科学技術振興財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%B3%B6%E6%B4%A5%E7%A7%91%E5%AD%A6%E6%8A%80%E8%A1%93%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,京都府京都市中京区西ノ京徳大寺町１番地,,254999999,,,corporate,5,1,koeki_name_matched_official_url_needed
5,日本科学協会,公益財団法人日本科学協会,公益財団法人日本科学協会,https://www.jss.or.jp/ikusei/sasakawa,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%97%A5%E6%9C%AC%E7%A7%91%E5%AD%A6%E5%8D%94%E4%BC%9A,yes,内閣府,東京都港区赤坂１丁目２番２号日本財団ビル５階,2022,209000000,,83,corporate,6,1,official_url_and_koeki_name_matched
6,日揮実吉奨学会,公益財団法人日揮・実吉奨学会,公益財団法人日揮・実吉奨学会,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%97%A5%E6%8F%AE%E3%83%BB%E5%AE%9F%E5%90%89%E5%A5%A8%E5%AD%A6%E4%BC%9A,yes,内閣府,東京都中央区日本橋兜町１５番６号製粉会館ビル,2022,204000000,,86,academic,4,1,koeki_name_matched_official_url_needed
7,池谷科学技術振興財団,公益財団法人池谷科学技術振興財団,公益財団法人池谷科学技術振興財団,https://www.taf.or.jp/grant-c/03,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%B1%A0%E8%B0%B7%E7%A7%91%E5%AD%A6%E6%8A%80%E8%A1%93%E6%8C%AF%E8%88%88%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都千代田区九段南１丁目６番５号九段会館テラス１階,2022,203000000,,87,individual,5,1,official_url_and_koeki_name_matched
8,本庄国際奨学財団,公益財団法人本庄国際奨学財団,公益財団法人本庄国際奨学財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E6%9C%AC%E5%BA%84%E5%9B%BD%E9%9A%9B%E5%A5%A8%E5%AD%A6%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都渋谷区富ヶ谷１丁目１４番９号,2024,202000000,,88,intl,4,1,koeki_name_matched_official_url_needed
9,大塚敏美育英奨学財団,公益財団法人大塚敏美育英奨学財団,公益財団法人大塚敏美育英奨学財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E5%A4%A7%E5%A1%9A%E6%95%8F%E7%BE%8E%E8%82%B2%E8%8B%B1%E5%A5%A8%E5%AD%A6%E8%B2%A1%E5%9B%A3,yes,内閣府,大阪府大阪市中央区大手通３丁目２番２７号,2022,198000000,,89,individual,3,1,koeki_name_matched_official_url_needed
10,三菱ufj信託奨学財団,公益財団法人三菱ＵＦＪ信託奨学財団,公益財団法人三菱ＵＦＪ信託奨学財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E4%B8%89%E8%8F%B1%EF%BC%B5%EF%BC%A6%EF%BC%AA%E4%BF%A1%E8%A8%97%E5%A5%A8%E5%AD%A6%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都中央区日本橋２丁目２番４号日本橋ビル,2022,194000000,,90,corporate,4,1,koeki_name_matched_official_url_needed
11,スズキ財団,公益財団法人スズキ財団,公益財団法人スズキ財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E3%82%B9%E3%82%BA%E3%82%AD%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都港区東新橋二丁目２番８号,2024,194000000,,91,corporate,3,1,koeki_name_matched_official_url_needed
12,電気通信普及財団,公益財団法人電気通信普及財団,電気通信普及財団,,https://www.koeki-info.go.jp/corporations/corporation-search?keyword=%E5%85%AC%E7%9B%8A%E8%B2%A1%E5%9B%A3%E6%B3%95%E4%BA%BA%E9%9B%BB%E6%B0%97%E9%80%9A%E4%BF%A1%E6%99%AE%E5%8F%8A%E8%B2%A1%E5%9B%A3,yes,内閣府,東京都港区西新橋２丁目４番２号,2024,192000000,,93,academic,4,1,koeki_name_matched_official_url_needed
